School_pre,Pre,Post,Surveys,School,School_Level,School_Type,Sex,Yrs_Allstars_dummy,Grade_Level,RFJ_post,RFJ_Dic_post,RFJ_3_post,RFJ_Dic_pre,RFJ_3_pre,RFJ_Change,Grade_pre,Grade_post,Social_pre,PosID_pre,ComLearn_pre,PosVal_pre,Support_Pre,Empower_Pre,Bound_Pre,Construct_Pre,Social_post,PosID_post,ComLearn_post,PosVal_post,Support_post,Empower_post,Bound_post,Construct_post,Peer_Pre,Staff_Pre,Skill_Pre,Voice_Pre,Active_Pre,Peer_post,Staff_post,Active_post,Skill_post,Voice_post,School_Level_pre,School_Type_pre,Site_pre,RFJ_pre,RFJ_Other_pre,Yrs_Allstars_pre,Yrs_Allstars_pre_dummy,Q1_Peer_pre,Q2_Skill_pre,Q3_Staff_pre,Q4_Voice_pre,Q5_Active_pre,Q6_Voice_pre,Q7_Peer_pre,Q8_Staff_pre,Q9_Active_pre,Q10_Skill_pre,Q11_Peer_pre,Q12_Voice_pre,Q13_Active_pre,Q14_Staff_pre,Q15_Skill_pre,Q16_Peer_pre,Q17_Voice_pre,Q18_Skill_pre,Q19_Active_pre,Q20_Peer_pre,Q21_Voice_pre,Q22_Staff_pre,Q23_Skill_pre,Q24_Skill_pre,Q25_Voice_pre,Q26_Staff_pre,Q27_Voice_pre,Q28_Skill_pre,Q29_Staff_pre,Q30_Staff_pre,Q31_Staff_pre,DAP_1_pre,DAP_2_pre,DAP_3_pre,DAP_4_pre,DAP_5_pre,DAP_6_pre,DAP_7_pre,DAP_8_pre,DAP_9_pre,DAP_10_pre,DAP_11_pre,DAP_12_pre,DAP_13_pre,DAP_14_pre,DAP_15_pre,DAP_16_pre,DAP_17_pre,DAP_18_pre,DAP_19_pre,DAP_20_pre,DAP_21_pre,DAP_22_pre,DAP_23_pre,DAP_24_pre,DAP_25_pre,DAP_26_pre,DAP_27_pre,DAP_28_pre,DAP_29_pre,DAP_30_pre,DAP_31_pre,DAP_32_pre,DAP_33_pre,DAP_34_pre,DAP_35_pre,DAP_36_pre,DAP_37_pre,DAP_38_pre,DAP_39_pre,DAP_40_pre,DAP_41_pre,DAP_42_pre,DAP_43_pre,DAP_44_pre,DAP_45_pre,DAP_46_pre,DAP_47_pre,DAP_48_pre,DAP_49_pre,DAP_50_pre,DAP_51_pre,DAP_52_pre,DAP_53_pre,DAP_54_pre,DAP_55_pre,DAP_56_pre,DAP_57_pre,DAP_58_pre,Q1_Peer_post,Q2_Skill_post,Q3_Staff_post,Q4_Voice_post,Q5_Active_post,Q6_Voice_post,Q7_Peer_post,Q8_Staff_post,Q9_Active_post,Q10_Skill_post,Q11_Peer_post,Q12_Voice_post,Q13_Active_post,Q14_Staff_post,Q15_Skill_post,Q16_Peer_post,Q17_Voice_post,Q18_Skill_post,Q19_Active_post,Q20_Peer_post,Q21_Voice_post,Q22_Staff_post,Q23_Skill_post,Q24_Skill_post,Q25_Voice_post,Q26_Staff_post,Q27_Voice_post,Q28_Skill_post,Q29_Staff_post,Q30_Staff_post,Q31_Staff_post,DAP_1_post,DAP_2_post,DAP_3_post,DAP_4_post,DAP_5_post,DAP_6_post,DAP_7_post,DAP_8_post,DAP_9_post,DAP_10_post,DAP_11_post,DAP_12_post,DAP_13_post,DAP_14_post,DAP_15_post,DAP_16_post,DAP_17_post,DAP_18_post,DAP_19_post,DAP_20_post,DAP_21_post,DAP_22_post,DAP_23_post,DAP_24_post,DAP_25_post,DAP_26_post,DAP_27_post,DAP_28_post,DAP_29_post,DAP_30_post,DAP_31_post,DAP_32_post,DAP_33_post,DAP_34_post,DAP_35_post,DAP_36_post,DAP_37_post,DAP_38_post,DAP_39_post,DAP_40_post,DAP_41_post,DAP_42_post,DAP_43_post,DAP_44_post,DAP_45_post,DAP_46_post,DAP_47_post,DAP_48_post,DAP_49_post,DAP_50_post,DAP_51_post,DAP_52_post,DAP_53_post,DAP_54_post,DAP_55_post,DAP_56_post,DAP_57_post,DAP_58_post,Exclude99s_Pre,Exclude99s_Post,Exclude99s_Pre_YesNo,Exclude99s_Post_YesNo,DAP_1_pre_fix,DAP_2_pre_fix,DAP_3_pre_fix,DAP_4_pre_fix,DAP_5_pre_fix,DAP_6_pre_fix,DAP_7_pre_fix,DAP_8_pre_fix,DAP_9_pre_fix,DAP_10_pre_fix,DAP_11_pre_fix,DAP_12_pre_fix,DAP_13_pre_fix,DAP_14_pre_fix,DAP_15_pre_fix,DAP_16_pre_fix,DAP_17_pre_fix,DAP_18_pre_fix,DAP_19_pre_fix,DAP_20_pre_fix,DAP_21_pre_fix,DAP_22_pre_fix,DAP_23_pre_fix,DAP_24_pre_fix,DAP_25_pre_fix,DAP_26_pre_fix,DAP_27_pre_fix,DAP_28_pre_fix,DAP_29_pre_fix,DAP_30_pre_fix,DAP_31_pre_fix,DAP_32_pre_fix,DAP_33_pre_fix,DAP_34_pre_fix,DAP_35_pre_fix,DAP_36_pre_fix,DAP_37_pre_fix,DAP_38_pre_fix,DAP_39_pre_fix,DAP_40_pre_fix,DAP_41_pre_fix,DAP_42_pre_fix,DAP_43_pre_fix,DAP_44_pre_fix,DAP_45_pre_fix,DAP_46_pre_fix,DAP_47_pre_fix,DAP_48_pre_fix,DAP_49_pre_fix,DAP_50_pre_fix,DAP_51_pre_fix,DAP_52_pre_fix,DAP_53_pre_fix,DAP_54_pre_fix,DAP_55_pre_fix,DAP_56_pre_fix,DAP_57_pre_fix,DAP_58_pre_fix,DAP_1_post_fix,DAP_2_post_fix,DAP_3_post_fix,DAP_4_post_fix,DAP_5_post_fix,DAP_6_post_fix,DAP_7_post_fix,DAP_8_post_fix,DAP_9_post_fix,DAP_10_post_fix,DAP_11_post_fix,DAP_12_post_fix,DAP_13_post_fix,DAP_14_post_fix,DAP_15_post_fix,DAP_16_post_fix,DAP_17_post_fix,DAP_18_post_fix,DAP_19_post_fix,DAP_20_post_fix,DAP_21_post_fix,DAP_22_post_fix,DAP_23_post_fix,DAP_24_post_fix,DAP_25_post_fix,DAP_26_post_fix,DAP_27_post_fix,DAP_28_post_fix,DAP_29_post_fix,DAP_30_post_fix,DAP_31_post_fix,DAP_32_post_fix,DAP_33_post_fix,DAP_34_post_fix,DAP_35_post_fix,DAP_36_post_fix,DAP_37_post_fix,DAP_38_post_fix,DAP_39_post_fix,DAP_40_post_fix,DAP_41_post_fix,DAP_42_post_fix,DAP_43_post_fix,DAP_44_post_fix,DAP_45_post_fix,DAP_46_post_fix,DAP_47_post_fix,DAP_48_post_fix,DAP_49_post_fix,DAP_50_post_fix,DAP_51_post_fix,DAP_52_post_fix,DAP_53_post_fix,DAP_54_post_fix,DAP_55_post_fix,DAP_56_post_fix,DAP_57_post_fix,DAP_58_post_fix,Social_pre_score,PosID_pre_score,ComLearn_pre_score,PosVal_pre_score,Support_pre_score,Empower_pre_score,Bound_pre_score,Construct_pre_score,Social_pre_round,PosID_pre_round,ComLearn_pre_round,PosVal_pre_round,Support_pre_round,Empower_pre_round,Bound_pre_round,Construct_pre_round,filter_$,Social_post_score,PosID_post_score,ComLearn_post_score,PosVal_post_score,Support_post_score,Empower_post_score,Bound_post_score,Construct_post_score,Social_post_round,PosID_post_round,ComLearn_post_round,PosVal_post_round,Support_post_round,Empower_post_round,Bound_post_round,Construct_post_round,Internal_assets_pre_score,External_Assets_pre_score,Internal_Assets_pre_round,External_Assets_pre_round,Total_Assets_pre,Internal_assets_post_score,External_Assets_post_score,Internal_Assets_post_round,External_Assets_post_round,Total_Assets_post,Experiences_Post,PYD_Internal_Post,PYD_External_Post,PYD_Post,Total_Assets_Pre_4group,Total_Assets_Post_4group,School_Level_Middle,School_Level_High,Peer_post_3group,Staff_post_3group,Active_post_3group,Skill_post_3group,Voice_post_3group,Experiences_post_3group,Total_Assets_Post_ExcellentvsAll,Experiences_Pre,Experiences_pre_3groups
8,1, ,1,8,2,2,2,2,7, , , ,0,2, ,7, ,2.125,2.5,2.857142857,2.272727273,2.285714286,2.5,2.777777778,3.25, , , , , , , , ,2,2.375,2.714285714,1.714285714,2.25, , , , , ,2,2,LALA MS,4,Cause I want to,2,2,2,4,2,2,2,1,2,2,1,3,2,3,2,4,3,2,1,3,4,2,2,2,2,2,1,2,2,2,1,2,4,2,3,2,2,3,3,2,4,3,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,3,4,4,3,4,3,2,4,2,3,1,3,2,2,2,3,2,2,2,2,2,2,2,4,2,1,3,2,4,4,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.517241379, ,1,0,1,2,1,1,2,2,1,3,2,0,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,3,3,2,3,2,1,3,1,2,0,2,1,1,1,2,1,1,1,1,1,1,1,3,1,0,2,1,3,3,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.25,15,18.57142857,12.72727273,12.85714286,15,17.77777778,22.5,11,15,19,13,13,15,18,23,1, , , , , , , , , , , , , , , , ,14.5,17.25,15,17,32, , , , , , , , , ,2, ,1,0, , , , , , , ,2.210714286,2
8,1, ,1,8,2,2,2,2,6, , , ,0,2, ,6, ,3.125,3.333333333,3.571428571,3.272727273,3.571428571,2.833333333,3.888888889,3.75, , , , , , , , ,2.8,3.875,3.571428571,2.857142857,3.75, , , , , ,2,2,LALA MS,4, ,2,2,2,3,4,4,3,2,4,4,4,3,2,3,4,4,4,3,2,4,4,3,3,4,4,3,3,4,3,4,3,4,4,3,4,4,2,1,3,4,4,3,4,2,4,3,2,3,4,3,4,3,3,2,3,3,4,3,4,3,4,4,3,4,3,4,4,4,3,3,4,4,3,3,4,4,4,4,2,4,2,4,4,4,4,4,4,3,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.413793103, ,1,0,2,3,3,1,0,2,3,3,2,3,1,3,2,1,2,3,2,3,2,2,1,2,2,3,2,3,2,3,3,2,3,2,3,3,3,2,2,3,3,2,2,3,3,3,3,1,3,1,3,3,3,3,3,3,2,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21.25,23.33333333,25.71428571,22.72727273,25.71428571,18.33333333,28.88888889,27.5,21,23,26,23,26,18,29,28,1, , , , , , , , , , , , , , , , ,23.25,25.25,23,25,48, , , , , , , , , ,3, ,1,0, , , , , , , ,3.370714286,3
8,1, ,1,8,2,2,2,2,7, , , ,0,2, ,7, ,3.875,4,4,3.909090909,4,3.833333333,4,4, , , , , , , , ,4,4,4,4,4, , , , , ,2,2,LALA MS,4,I wanted to join,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.948275862, ,1,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28.75,30,30,29.09090909,30,28.33333333,30,30,29,30,30,29,30,28,30,30,1, , , , , , , , , , , , , , , , ,29.5,29.5,30,30,60, , , , , , , , , ,4, ,1,0, , , , , , , ,4,3
8,1, ,1,8,2,2,1,2,7, , , ,0,2, ,7, ,3.125,3.166666667,3.571428571,3.545454545,3.571428571,3.166666667,3.555555556,3.25, , , , , , , , ,3.4,3.625,3.571428571,3,3.25, , , , , ,2,2,LALA MS,5,Need extra practice in music,2,2,3,3,4,4,3,4,3,4,3,3,4,3,3,3,4,4,3,4,4,3,1,3,3,4,2,4,4,4,3,4,4,4,3,3,3,4,3,4,4,4,3,3,3,3,3,3,4,3,3,4,3,2,3,3,3,3,3,4,4,4,3,1,3,4,4,4,4,4,3,3,4,3,4,3,4,4,3,4,3,4,4,4,3,4,4,3,3,3,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.396551724, ,1,0,3,2,2,2,3,2,3,3,3,2,2,2,2,2,2,3,2,2,3,2,1,2,2,2,2,2,3,3,3,2,0,2,3,3,3,3,3,2,2,3,2,3,2,3,3,2,3,2,3,3,3,2,3,3,2,2,2,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21.25,21.66666667,25.71428571,25.45454545,25.71428571,21.66666667,25.55555556,22.5,21,22,26,25,26,22,26,23,1, , , , , , , , , , , , , , , , ,23.5,24.25,24,24,48, , , , , , , , , ,3, ,1,0, , , , , , , ,3.369285714,3
8,1, ,1,8,2,2,2,1,8, , , ,0,2, ,8, ,3.75,3.333333333,3.428571429,3.090909091,3.571428571,3.333333333,3.333333333,3.5, , , , , , , , ,3.6,4,3.857142857,3.714285714,3.75, , , , , ,2,2,LALA MS,5, ,1,1,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,3,2,4,3,4,3,4,4,4,4,4,4,3,4,3,3,3,4,4,4,3,4,4,2,2,3,4,4,3,3,4,4,4,4,1,4,3,4,2,2,4,1,4,4,4,4,4,4,1,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.396551724, ,1,0,2,2,2,2,3,3,2,1,3,2,3,2,3,3,3,3,3,3,2,3,2,2,2,3,3,3,2,3,3,1,1,2,3,3,2,2,3,3,3,3,0,3,2,3,1,1,3,0,3,3,3,3,3,3,0,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27.5,23.33333333,24.28571429,20.90909091,25.71428571,23.33333333,23.33333333,25,28,23,24,21,26,23,23,25,1, , , , , , , , , , , , , , , , ,24,24.25,24,24,48, , , , , , , , , ,3, ,1,0, , , , , , , ,3.784285714,3
 , ,1,2,8,2,2, ,2,8,2,1,1, , , , ,8, , , , , , , , ,3.285714286,4,3.75,4,3,4, , , , , , , ,3.8,3.5,3.75,3.142857143,3.666666667, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,4,4,3,3,4,3,4,3,4,4,4,3,4,3,4,3,4,4,4,3,3,4,3,4,99,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,3,3,3,4,4,4,3,4,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , ,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,3,2,2,2,3,3,3,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99, , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,3.571904762,3.758928571,3.5,3.629464286, , ,1,0,3,3,3,3,3,3, , , 
8,1, ,1,8,2,2,1,2,7, , , ,0,2, ,7, ,3.25,4,3.428571429,3.545454545,4,4,4,3, , , , , , , , ,3.8,4,3.857142857,4,3.75, , , , , ,2,2,LALA MS,6, ,2,2,4,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,1,4,4,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,3,4,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.672413793, ,1,0,3,3,3,3,3,3,2,2,3,2,0,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,2,2,3,3,2,3,2,2,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.5,30,24.28571429,25.45454545,30,30,30,20,23,30,24,25,30,30,30,20,1, , , , , , , , , , , , , , , , ,25.5,27.5,26,28,54, , , , , , , , , ,4, ,1,0, , , , , , , ,3.881428571,3
 , ,1,2,8,2,2,1,2,7,7, ,3, , , , ,7, , , , , , , , ,3,3.166666667,3.571428571,3,2.857142857,3,3,3.25, , , , , ,2.8,2.875,2.75,2.857142857,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,4,4,4,3,2,4,4,4,4,4,4,4,4,4,4,2,3,2,2,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, ,3.086206897,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3,3,3,3,3,1,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , ,1,20,21.66666667,25.71428571,20,18.57142857,20,20,22.5,20,22,26,20,19,20,20,23, , , , , ,22,20.5,22,21,43,2.856428571,3.18452381,3.026785714,3.105654762, ,3,1,0,2,2,2,2,2,2,0, , 
8,1, ,1,8,2,2,1,2,7, , , ,1,1, ,7, ,3.875,4,3.571428571,3.4,4,3.5,4,3.75, , , , , , , , ,3.2,3,3.285714286,3.285714286,3.5, , , , , ,2,2,LALA MS,1, ,2,2,2,3,3,4,4,3,3,2,4,3,3,3,2,4,3,4,4,3,4,4,3,3,4,4,3,4,3,3,2,3,3,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,88,3,2,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.754385965, ,1,0,2,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,2,88,2,1,2,3,2,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28.75,30,25.71428571,24,30,25,30,27.5,29,30,26,24,30,25,30,28,1, , , , , , , , , , , , , , , , ,27.25,28.25,27,28,55, , , , , , , , , ,4, ,1,0, , , , , , , ,3.254285714,3
8,1, ,1,8,2,2,2,1,7, , , ,0,2, ,7, ,2.75,1.333333333,2.571428571,2.545454545,2,2.166666667,2.777777778,3, , , , , , , , ,3.2,3.5,3.285714286,2.857142857,4, , , , , ,2,2,LALA MS,5, ,1,1,4,4,4,3,4,2,2,4,4,4,4,3,4,3,4,4,2,4,4,2,2,4,3,1,4,3,4,3,2,4,4,2,1,2,3,2,2,2,4,4,2,2,1,1,1,2,3,3,2,2,4,2,3,3,3,3,2,1,2,1,1,3,2,4,4,3,2,2,4,4,4,1,1,2,3,4,2,4,2,99,2,1,4,4,3,1,1,1,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.421052632, ,1,0,1,0,1,2,1,1,1,3,3,1,1,0,0,0,1,2,2,1,1,3,1,2,2,2,2,1,0,1,0,0,2,1,3,3,2,1,1,3,3,3,0,0,1,2,3,1,3,1,99,1,0,3,3,2,0,0,0,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17.5,3.333333333,15.71428571,15.45454545,10,11.66666667,17.77777778,20,18,3,16,15,10,12,18,20,1, , , , , , , , , , , , , , , , ,13,15,13,15,28, , , , , , , , , ,1, ,1,0, , , , , , , ,3.368571429,3
8,1, ,1,8,2,2,2,2,7, , , ,0,99, ,7, ,3.75,4,3.714285714,3.909090909,3.571428571,3.833333333,3.888888889,3.75, , , , , , , , ,3.6,4,4,3.285714286,4, , , , , ,2,2,LALA MS,8,"1, 2, 4, 5, 7",2,2,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.810344828, ,1,0,3,3,3,3,2,3,3,3,3,2,3,3,1,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27.5,30,27.14285714,29.09090909,25.71428571,28.33333333,28.88888889,27.5,28,30,27,29,26,28,29,28,1, , , , , , , , , , , , , , , , ,28.5,27.75,29,28,57, , , , , , , , , ,4, ,1,0, , , , , , , ,3.777142857,3
 , ,1,2,8,2,2, ,1,7,5,0,2, , , , ,7, , , , , , , , ,2.625,1.666666667,2.428571429,3.090909091,3.285714286,3.166666667,3,3, , , , , ,2.4,3.375,3,3.142857143,2.142857143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,4,4,4,2,2,4,2,4,3,2,2,3,3,4,1,4,4,1,1,3,4,2,2,3,3,2,2,4,4,4,2,2,2,1,2,3,3,4,3,3,2,3,1,1,3,4,3,3,2,2,2,3,4,2,2,2,3,4,3,3,4,4,3,2,3,2,2,2,4,3,2,2,2,3,4,4,4,3,4,2,4,4,4,2,3,2,4, ,2.810344828,0,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,1,1,0,1,2,2,3,2,2,1,2,0,0,2,3,2,2,1,1,1,2,3,1,1,1,2,3,2,2,3,3,2,1,2,1,1,1,3,2,1,1,1,2,3,3,3,2,3,1,3,3,3,1,2,1,3, , , , , , , , , , , , , , , , ,1,16.25,6.666666667,14.28571429,20.90909091,22.85714286,21.66666667,20,20,16,7,14,21,23,22,20,20, , , , , ,14.5,21.25,15,21,36,2.812142857,2.452786797,3.113095238,2.782941017, ,2,1,0,2,3,2,3,2,2,0, , 
8,1, ,1,8,2,2,1,2,7, , , ,0,2, ,7, ,3.5,3.666666667,3.428571429,3.909090909,4,3.333333333,3.666666667,3.75, , , , , , , , ,2.6,3.875,3.714285714,3.142857143,3.5, , , , , ,2,2,LALA MS,4, ,2,2,2,3,4,4,3,4,2,4,4,4,3,3,3,4,4,3,1,4,4,3,3,4,4,3,3,4,4,4,3,4,4,3,3,4,4,3,3,4,3,4,3,3,4,4,3,4,4,4,3,4,3,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,4,2,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.672413793, ,1,0,2,2,3,3,2,2,3,2,3,2,2,3,3,2,3,3,3,2,3,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,3,1,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25,26.66666667,24.28571429,29.09090909,30,23.33333333,26.66666667,27.5,25,27,24,29,30,23,27,28,1, , , , , , , , , , , , , , , , ,26.25,27,26,27,53, , , , , , , , , ,4, ,1,0, , , , , , , ,3.366428571,3
8,1, ,1,8,2,2,2,1,7, , , , ,3, ,7, ,2.875,2.833333333,1.857142857,2.909090909,3.285714286,2.833333333,4,2.5, , , , , , , , ,2.4,3.125,2.714285714,2.428571429,3, , , , , ,2,2,LALA MS,7, ,1,1,3,3,3,2,3,2,2,3,3,3,2,3,3,4,3,3,2,3,3,2,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,1,3,1,1,3,1,3,2,1,3,3,3,2,2,2,3,3,3,2,4,4,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.948275862, ,1,0,2,2,2,2,0,2,0,0,2,0,2,1,0,2,2,2,1,1,1,2,2,2,1,3,3,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,3,2,2,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.75,18.33333333,8.571428571,19.09090909,22.85714286,18.33333333,30,15,19,18,9,19,23,18,30,15,1, , , , , , , , , , , , , , , , ,16.25,21.5,16,22,38, , , , , , , , , ,2, ,1,0, , , , , , , ,2.733571429,2
